ID,First Name,Last Name,Dependents,Hours,Rate,Gross Pay (Pre-Tax),State Tax,Federal Tax,Net Pay (Post-Tax)
101,John,Smith,2,40.0,15.0,600.0,33.6,47.4,519.0
102,Jane,Doe,1,30.0,18.5,555.0,31.08,43.84,480.08
103,Bob,Brown,0,45.0,22.0,1045.0,58.52,82.56,903.92
104,Sue,Green,3,41.0,12.75,529.12,29.63,41.8,457.69
105,Tim,White,2,80.0,19.25,1925.0,107.8,152.07,1665.13
106,Ann,Black,4,38.0,16.5,627.0,35.11,49.53,542.36
107,Joe,Gray,5,50.0,25.0,1375.0,77.0,108.62,1189.38
108,Amy,Stone,1,20.0,14.0,280.0,15.68,22.12,242.2
109,Sam,Reed,0,44.0,20.5,943.0,52.81,74.5,815.69
110,Kim,Lake,2,40.0,17.75,710.0,39.76,56.09,614.15
